a66_id	main_id	ra	dec	otype	identifier
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"TIC 1716997043"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"UBV   16374"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"UBV M  44674"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"USNO-B1.0 1362-00308430"
"PN A66   61"	"PN A66   61"	289.79251136779	46.24777050590999	"PN"	"WD 1917+461"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"Gaia DR3 4314617943916816384"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"[GS55] 164"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"PK 047-04  1"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"PN A55   50"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"PN A66   62"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"PN ARO  155"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"PN G047.1-04.2"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"PN VV'  501"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"PSO J293.3245+10.6165"
"PN A66   62"	"PN A66   62"	293.3245354548713	10.616600495300833	"PN"	"TIC 1912509815"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"AKARI-FIS-V1 J1942099+170519"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"CSI+16-19399"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"Gaia DR2 1820963913284517504"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"Gaia DR3 1820963913284517504"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"GALEX J194210.2+170513"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"GEN# +6.20056063"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"IRAS 19398+1657"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"NSV 12320"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"PK 053-03  1"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"PN A55   51"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"PN A66   63"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"PN ARO  161"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"PN G053.8-03.0"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"PN VV'  509"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"SV* HV  5452"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"SV* SON  8314"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"TIC 1842385646"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"UBV   16747"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"UBV M  44675"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"UCAC3 215-226822"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"V* UU Sge"
"PN A66   63"	"PN A66   63"	295.54287357862	17.08734958587	"PN"	"WD 1939+169"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"2MASX J19453483+0533514"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"AGC 290080"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"IRAS 19430+0526"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"LEDA   63630"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"PK 044-09  1"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"PN A55   52"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"PN A66   64"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"PN ARO  163"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"PN VV'  512"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"SCM 251"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"UZC J194535.0+053405"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"Z 1943.1+0528"
"PN A66   64"	"Z 397-5"	296.39508	5.56436	"AG?"	"Z 397-5"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"2MASS J19463420-2308129"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"ATO J296.6425-23.1369"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"CSI-23-19436"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"DENIS J194634.2-230812"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"ESO 526-3"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"Gaia DR2 6864617817991978624"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"Gaia DR3 6864617817991978624"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"GALEX J194634.2-230813"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"GALEX J194634.2-230815"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"GALEX J194634.3-230814"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"GALEX J194634.3-230815"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"GEN# +6.20056065"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"GSC 06890-02790"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"GSC2 S3022000382"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"IRAS 19435-2315"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"LEDA   63654"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"MCG-04-46-001"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"PK 017-21  1"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"PN A66   65"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"PN ARO   36"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"PN G017.3-21.9"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"PN VV'  513"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"PSCz P19435-2315"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"SH  2-52"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"TIC 69392806"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"UBV   16806"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"UBV M  44676"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"UCAC2  22584419"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"UCAC3 134-465256"
"PN A66   65"	"PN A66   65"	296.64253829593	-23.136935023080003	"PN"	"UGCA 415"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"CSI-21-19546"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"ESO 595-4"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"Gaia DR2 6864496115795567488"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"Gaia DR3 6864496115795567488"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"GALEX J195731.3-213645"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"GALEX J195731.4-213645"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"GALEX J195731.4-213646"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"GALEX J195731.5-213644"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"GALEX J195731.5-213645"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"GEN# +6.20056066"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"GSC2 S331103117982"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"IRAS 19545-2144"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"PK 019-23  1"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"PN A55   53"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"PN A66   66"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"PN ARO  339"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"PN G019.8-23.7"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"PN VV'  519"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"UBV   16998"
"PN A66   66"	"PN A66   66"	299.38126193687	-21.61283597868	"PN"	"UBV M  44677"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"Gaia DR2 4241183550857632896"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"Gaia DR3 4241183550857632896"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"GSC2 N021211119845"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"PK 043-13  1"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"PN A55   54"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"PN A66   67"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"PN ARO  117"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"PN G043.5-13.4"
